epoch,combined_bce___dice_train_loss,combined_bce___dice_val_loss,combined_bce___dice_val_dice,combined_bce___dice_val_iou,bce_only_train_loss,bce_only_val_loss,bce_only_val_dice,bce_only_val_iou,soft_dice_only_train_loss,soft_dice_only_val_loss,soft_dice_only_val_dice,soft_dice_only_val_iou
1,1.376835036277771,1.577468204498291,0.13726443648338318,0.07565078735351563,0.6024997293949127,0.7054046511650085,0.13726443648338318,0.07565078735351563,0.773980724811554,0.8729568481445312,0.13726443648338318,0.07565078735351563
2,1.2450323700904846,1.543300986289978,0.2011194944381714,0.1150943547487259,0.5054069936275483,0.6683700799942016,0.14618682265281677,0.07995298206806183,0.732790869474411,0.8601678371429443,0.24340908825397492,0.14388493895530702
3,1.198952317237854,1.4415035247802734,0.8054877042770385,0.6839725255966187,0.4706407904624939,0.6263352632522583,0.7759535670280456,0.6408883571624756,0.7147671818733216,0.8276387810707092,0.12664687037467956,0.06881469786167145
4,1.1589234352111817,1.3714317798614502,0.8545127272605896,0.7490438103675843,0.44117245078086853,0.5882003784179688,0.8996679782867432,0.8191279649734498,0.6928989470005036,0.6492740154266358,0.40138931274414064,0.3012101352214813
5,1.119456136226654,1.3081212997436524,0.8477099657058715,0.7367842316627502,0.41240076124668124,0.5065344333648681,0.8852936744689941,0.7944779992103577,0.6725692868232727,0.7154874086380005,0.44179760217666625,0.3170015633106232
6,1.0801416039466858,1.1753341197967528,0.8771626591682434,0.781939971446991,0.3845277547836304,0.41314693093299865,0.8809833526611328,0.7875827074050903,0.6553872764110565,0.6708538174629212,0.7414987206459045,0.5987864255905151
7,1.0411725461483001,1.112513780593872,0.9072378635406494,0.8306854367256165,0.3570390701293945,0.37304699420928955,0.9206794977188111,0.8531998515129089,0.6426454186439514,0.7122829675674438,0.8015630722045899,0.6734649896621704
8,1.0014997720718384,1.0688601016998291,0.935114073753357,0.8783744096755981,0.32964856922626495,0.34104801416397096,0.9488827228546143,0.9029037714004516,0.6248474776744842,0.7140298366546631,0.8549218058586121,0.7497099995613098
9,0.9610139846801757,0.9789155721664429,0.9833250045776367,0.9672629117965699,0.3027546674013138,0.3055103480815887,0.9795880794525147,0.960030996799469,0.6089493632316589,0.7312694787979126,0.8980453848838806,0.8182194113731385
10,0.9219518721103668,0.9716577410697937,0.9801655054092407,0.961181378364563,0.2784249484539032,0.2873116970062256,0.9850103974342346,0.9704939842224121,0.5983764171600342,0.6170581698417663,0.8355719685554505,0.7665953874588013
11,0.8802310585975647,0.9549723148345948,0.9862924098968506,0.97298504114151,0.25493353754282,0.2641278445720673,0.99128497838974,0.9827311515808106,0.5690306186676025,0.6279280424118042,0.934882378578186,0.8809904217720032
12,0.8414011538028717,0.8889877080917359,0.9672866344451905,0.9367657899856567,0.23528974652290344,0.2423180878162384,0.9810868501663208,0.9629212856292725,0.5583705902099609,0.7243222713470459,0.3895976960659027,0.29364228844642637
13,0.8018116593360901,0.853248655796051,0.9902398824691773,0.980685031414032,0.21686526387929916,0.22186253368854522,0.9937995791435241,0.9876798987388611,0.5331196069717408,0.7332506775856018,0.9738024592399597,0.949023175239563
14,0.7588658511638642,0.7890873432159424,0.9754493832588196,0.9521426796913147,0.1984795391559601,0.20110806524753572,0.9840456247329712,0.9686214685440063,0.512841933965683,0.7375480175018311,0.9300606966018676,0.869710910320282
15,0.7187269508838654,0.7819658279418945,0.9901075601577759,0.9804286479949951,0.1823896124958992,0.18608378767967224,0.9934121131896972,0.9869185209274292,0.478020054101944,0.647895073890686,0.9673465013504028,0.9373167037963868
